\exword{aio}{food}	ai-o
\exword{aioaio}{snack}	ai-o-ai-o
\exword{paupaoi}{--}	pau-pao-i
\exword{akuei}{salt}	a-ku-ei
\exword{rukue}{lit/ignited}	ru-ku-e
\exword{auea}{--}	a-ue-a
\exword{arueia}{(safe) container made from a section of bamboo/(native) bank made from}	a-ru-ei-a
\exword{asiraue}{shellfish}	a-si-ra-ue
\exword{aue}{ignore}	a-ue
\exword{auero}{these(allN)}	a-ue-ro
\exword{aioa}{food/feast/meal}	ai-o-a
\exword{au}{blinded by light}	au
\exword{voe}{--}	vo-e
\exword{avieua}{salt-impregnated bamboo tube used for cooking/bamboo tube impregnated}	a-vi-e-ua
\exword{voea}{3PL.M}	vo-e-a
\exword{voeari}{these others beyond (all M or all MF)}	vo-e-a-ri
\exword{putaeua}{wing}	pu-tae-ua
\exword{viovioe}{exemplify}	vi-o-vi-o-e
\exword{upeua}{men wearing Upe}	u-pe-ua
\exword{evoea}{those (all M/MF)}	e-voe-a
\exword{virueua}{penis}	vi-ru-e-ua
\exword{akoea}{truly!}	a-koe-a
\exword{vaikeua}{fish trap made of rattan or vine}	vai-ke-ua
"\exword{touea}{bird, with small black body and call similar to Friar bird's call.}"	tou-e-a
\exword{viseua}{bamboo tube open at both ends}	vi-se-ua
"\exword{utauei}{gecko, small body and white skin}"	u-ta-uei
\exword{tavoteua}{}	ta-vo-te-ua
