wnver::eOS9lXC6GvMWznF1wkZofDdtbBU
1740n 188998572 ROOT
1930n 79447226
2137n 109422647
2452n 3405178
2684n 48912675
3553n 38350153
3993n 9
4258n 18081995
4475n 17988611
5787n 5
5930n 900
6024n 1
6150n 20258
6269n 63228
6400n 1
6484n 30088
7347n 16975778
7846n 16084233
15388n 1139027
17222n 463401
19046n 2778
19128n 1244503
19613n 4621616
20090n 1816092
20827n 7199020
21265n 935313
21734n 33894
21939n 18918520
22903n 145831
23100n 38950042
23271n 13223877
23773n 344689
24264n 18841163
24720n 7970806
26192n 992190
27167n 8825174
27807n 1420363
28270n 687963
28651n 29489
29007n 3
29114n 1623
29378n 25381474
29677n 2951115
30358n 19017410
31264n 11027239
31921n 11012980
32613n 2424307
32823n 20873
33020n 14936727
33615n 14484980
34213n 1414081
34479n 74489
34574n 32887
34777n 3
34939n 111
35189n 464601
35697n 194
35891n 405
36061n 16047
36299n 211
36580n 9
36762n 72507
37006n 582
37090n 16
37200n 7079
37396n 4626037
38175n 5
38262n 128597
38573n 36
38863n 57
39021n 47184
39211n 230
39297n 18174
39545n 2324
39740n 146
39916n 1155
39990n 1152
40152n 25463
40420n 159
40545n 1
40804n 24868
40962n 17753
41188n 13337
41468n 24643
41614n 3
41740n 731
41899n 119204
42311n 115359
42541n 4348
42757n 125047
43116n 1
43195n 120569
43609n 24109
43902n 48969
44150n 226750
44455n 7338
44673n 5090
44900n 87
45114n 5
45250n 279835
45646n 2094
45907n 25135
46177n 50918
46344n 6215
46522n 118664
47018n 61
47106n 14946
47356n 1
47550n 60
47745n 21920
47941n 79
48051n 63293
48225n 27175
48374n 73189
48656n 990
48828n 19181
49003n 19910
49344n 170
49530n 548
49636n 20
49789n 15
49909n 900
50037n 2696
50195n 26094
50484n 140
50693n 1314
50887n 18342
51077n 553
51192n 18126
51385n 361
51525n 620
51712n 46
51897n 13
52052n 182
52146n 133
52334n 2427
52500n 2640
52791n 93
53020n 46
53097n 27067
53405n 8
53525n 16
53609n 1507
53806n 188
53913n 15609
54328n 29
54483n 1342
54652n 4806
54821n 634
55038n 2
55227n 2
55315n 923
55633n 2
55793n 3
55932n 2
56087n 355
56311n 1088
56551n 2
56688n 3
56912n 1424
57162n 1
57306n 82
57486n 4191
57657n 1842
57748n 2
58002n 48
58247n 27
58337n 414
58519n 1418
58608n 12
58743n 50642
59127n 32151
59376n 2441
59552n 29244
59728n 246
59895n 257
59989n 8034
60201n 220
60414n 408
60548n 1
60747n 2
60817n 21
61014n 326
61171n 117
61290n 1359
61453n 1
61598n 21708
61792n 71
61917n 1587
62133n 19371
62331n 3
62451n 679
62671n 1
62806n 202307
63014n 22109
63310n 274
63559n 188
63652n 167459
64018n 4664
64151n 225
64370n 278
64504n 20068
64789n 16079
65098n 9
65216n 734
65336n 1892
65418n 47
65575n 13618
65855n 7080
66075n 1
66216n 225233
66397n 13474
66636n 158335
66901n 2440
67153n 1
67254n 15877
67397n 1074
67526n 26182
67707n 10420
67990n 1637
68170n 3398
68333n 1343
68617n 16
68755n 1651
68901n 3448
69060n 1
69173n 449
69444n 12
69604n 109
69685n 1
69815n 13
69918n 48
70077n 1
70215n 64
70363n 1431
70462n 23
70641n 1994
70807n 1
70965n 59381
71546n 5
71700n 1
71864n 68
72068n 5965
72261n 6857
72473n 2912
72691n 170
72808n 432
73032n 110
73177n 244
73525n 1
73713n 937
