wnver::eOS9lXC6GvMWznF1wkZofDdtbBU
1740n 1915712 ROOT
1930n 859272
2137n 1055337
2452n 36243
2684n 527326
3553n 414060
3993n 0
4258n 208268
4475n 207202
5787n 0
5930n 5
6024n 0
6150n 116
6269n 759
6400n 0
6484n 307
7347n 195429
7846n 185731
15388n 13624
17222n 5001
19046n 54
19128n 13701
19613n 39330
20090n 18966
20827n 68111
21265n 9761
21734n 455
21939n 190947
22903n 1253
23100n 389588
23271n 136091
23773n 3483
24264n 192358
24720n 82925
26192n 11997
27167n 94279
27807n 15211
28270n 7283
28651n 408
29007n 0
29114n 17
29378n 250014
29677n 32107
30358n 185974
31264n 110228
31921n 91952
32613n 21933
32823n 179
33020n 139519
33615n 129897
34213n 16681
34479n 691
34574n 362
34777n 0
34939n 0
35189n 4481
35697n 1
35891n 22
36061n 93
36299n 2
36580n 0
36762n 876
37006n 12
37090n 0
37200n 67
37396n 45775
38175n 0
38262n 1133
38573n 1
38863n 1
39021n 406
39211n 6
39297n 149
39545n 48
39740n 0
39916n 6
39990n 15
40152n 231
40420n 0
40545n 0
40804n 223
40962n 153
41188n 128
41468n 268
41614n 0
41740n 0
41899n 1096
42311n 1141
42541n 18
42757n 975
43116n 0
43195n 1193
43609n 175
43902n 504
44150n 2297
44455n 128
44673n 61
44900n 1
45114n 0
45250n 2928
45646n 14
45907n 239
46177n 426
46344n 62
46522n 883
47018n 1
47106n 153
47356n 0
47550n 0
47745n 227
47941n 1
48051n 399
48225n 259
48374n 781
48656n 10
48828n 175
49003n 223
49344n 1
49530n 5
49636n 1
49789n 0
49909n 13
50037n 33
50195n 273
50484n 3
50693n 4
50887n 197
51077n 2
51192n 198
51385n 0
51525n 15
51712n 0
51897n 0
52052n 1
52146n 0
52334n 27
52500n 34
52791n 0
53020n 2
53097n 268
53405n 0
53525n 0
53609n 16
53806n 3
53913n 114
54328n 1
54483n 15
54652n 41
54821n 8
55038n 0
55227n 0
55315n 14
55633n 0
55793n 0
55932n 0
56087n 1
56311n 10
56551n 0
56688n 0
56912n 16
57162n 0
57306n 1
57486n 13
57657n 16
57748n 0
58002n 0
58247n 0
58337n 5
58519n 8
58608n 0
58743n 424
59127n 242
59376n 26
59552n 203
59728n 3
59895n 11
59989n 64
60201n 1
60414n 4
60548n 0
60747n 0
60817n 0
61014n 1
61171n 0
61290n 30
61453n 0
61598n 235
61792n 4
61917n 26
62133n 193
62331n 0
62451n 12
62671n 0
62806n 1931
63014n 228
63310n 0
63559n 1
63652n 1624
64018n 34
64151n 0
64370n 3
64504n 259
64789n 121
65098n 0
65216n 11
65336n 7
65418n 0
65575n 162
65855n 67
66075n 0
66216n 2573
66397n 114
66636n 1765
66901n 17
67153n 0
67254n 160
67397n 2
67526n 294
67707n 165
67990n 16
68170n 17
68333n 11
68617n 0
68755n 17
68901n 5
69060n 0
69173n 0
69444n 0
69604n 0
69685n 0
69815n 0
69918n 0
70077n 0
70215n 0
70363n 15
70462n 0
70641n 19
70807n 0
70965n 719
71546n 0
71700n 0
71864n 1
72068n 78
72261n 109
72473n 48
72691n 1
72808n 10
73032n 2
73177n 5
73525n 0
73713n 9
73828n 24
74092n 0
74324n 0
74524n 11
74624n 126
74790n 206
75283n 0
75471n 21
75618n 0
75790n 37
75912n 3
76072n 1
76196n 26
76323n 0
76393n 0
76563n 114
76884n 148
77169n 0
77249n 0
77419n 597
77856n 0
77981n 12
78217n 1
78393n 1
78536n 0
78821n 0
79018n 178
79212n 4
79398n 26
79603n 0
79752n 0
79908n 0
80096n 0
80242n 0
80474n 0
80619n 0
80743n 215
80968n 335
81174n 0
81395n 0
81572n 111
81836n 65
82081n 46
82223n 0
82347n 0
82525n 50
82754n 26
82870n 64
83260n 358
83448n 294
83585n 28
83729n 21
83975n 67
84371n 20
84642n 0
84895n 0
85041n 0
85219n 31
85432n 0
85678n 0
85829n 16
86140n 0
86297n 1
86547n 0
86654n 5
86809n 48
87073n 10
87218n 2
87423n 138
87663n 66
87849n 2
88154n 0
88367n 0
88481n 140
88725n 95
89027n 17
89234n 2
89351n 207
89657n 0
89891n 0
90076n 0
90253n 48
90393n 34
90610n 0
90779n 87
91013n 15
91234n 4
91404n 3
91503n 1
91670n 0
91779n 0
91893n 2
91977n 0
92212n 0
92366n 4
92663n 1
92847n 1
93006n 0
93127n 0
93354n 0
93483n 203
93874n 0
94001n 81
94240n 13
94500n 10
94788n 29
94954n 0
95121n 5
95329n 1
95502n 207
95873n 0
95971n 4
96211n 5
96343n 5
96513n 30
96720n 0
96851n 4
96969n 3
97122n 3
97244n 1
97348n 4
97504n 246
97923n 0
98051n 0
98385n 62
98625n 408
98822n 0
98939n 0
99061n 0
99267n 1
99439n 1
99588n 3
99799n 2
99951n 101
100253n 209
100437n 0
100543n 87
100889n 0
101003n 6
101191n 126
101410n 3
101570n 0
101708n 5
101809n 15
102039n 0
102162n 1
102374n 1
102457n 10
102779n 0
102927n 0
103140n 159
103291n 4
103419n 141
103590n 141
103737n 0
103834n 170
104088n 0
104249n 38
104409n 58
104539n 660
104976n 1
105164n 2
105271n 7
105479n 52
105624n 0
105820n 126
106104n 24
106272n 387
106726n 1
106888n 13
107016n 2
107137n 0
107279n 1
107400n 111
107551n 0
107684n 0
107875n 64
108081n 0
108181n 101
108427n 1
108545n 0
108665n 0
108818n 1
108965n 0
109081n 0
109227n 0
109414n 63
109771n 1
109892n 2
110057n 7
110415n 0
110554n 1
110745n 0
110834n 0
110964n 0
111222n 0
111358n 5
111503n 1
111660n 0
111839n 0
111962n 0
112072n 0
112185n 0
112312n 743
112674n 31
112828n 4
112997n 3
113113n 623
113532n 70
113726n 3
113954n 0
114095n 2
114298n 1
114431n 260
114871n 12
115036n 70
115292n 1
115500n 9
115667n 87
115803n 0
116008n 2
116122n 0
116376n 94
116687n 49
116989n 0
117124n 0
117267n 0
117578n 4
117810n 2
117959n 20
118268n 13
118445n 0
118552n 15
118733n 3
119079n 0
119210n 0
119297n 0
119402n 0
119568n 279
119893n 2
120010n 4
120202n 231
120515n 12
120647n 2
120804n 3
120943n 14
121166n 79
121366n 45
121645n 16
121904n 15
122106n 1
122338n 11
122530n 22
122661n 423
122954n 24
123143n 0
123234n 204
123430n 153
123652n 2
123783n 7
124008n 0
124151n 0
124256n 0
124342n 2
124536n 0
124617n 2
124766n 0
124880n 107
125126n 16
125315n 1
125436n 53
125629n 320
126100n 1
126236n 25
126447n 0
126584n 8
126721n 2
126886n 9
127021n 1
127151n 16
127286n 190
127531n 337
127672n 31
127866n 0
128091n 0
128324n 1
128477n 3
128638n 77
128867n 18
128976n 1
129089n 11
129317n 6
129435n 2
129527n 1270
129743n 320
130093n 359
130347n 1
130512n 1
130673n 0
130846n 38
130987n 1
131090n 361
131347n 0
131485n 2
131608n 7
131791n 1
131877n 0
131991n 1
132105n 0
132219n 1
132355n 33
132497n 1
132601n 198
132756n 78
132982n 7
133160n 0
133234n 6
133338n 46
133567n 1
133668n 8
133875n 0
133981n 1
134099n 1
134246n 0
134391n 0
134472n 0
134574n 29
134780n 87
135148n 81
135311n 8
135504n 51
135637n 0
135799n 7
135952n 2
136048n 1
136152n 0
136230n 2
136329n 60
136691n 0
136876n 0
136984n 0
137279n 2
137534n 0
137709n 0
137877n 0
138078n 21
138221n 27
138441n 1
138599n 5
138734n 0
138799n 0
138956n 117
139544n 0
139758n 0
139919n 37
140112n 2
140264n 0
140393n 14
140652n 44
140900n 2
141027n 1
141176n 5
141396n 6
141669n 0
141806n 100
142140n 0
142361n 135
142665n 182
143057n 0
143251n 63
143536n 0
143626n 0
143763n 0
143885n 0
144182n 0
144445n 0
144632n 41
144778n 6
145024n 4
145218n 533
145779n 143
145929n 0
146111n 25
146277n 10
146443n 0
146572n 179
146856n 179
147091n 0
147187n 37
147314n 2
147454n 7
147595n 29
147862n 3
148057n 5
148242n 0
148446n 0
148653n 2
148762n 1
148836n 2
148978n 3
149084n 7
149262n 2
149508n 2
149699n 0
149895n 0
150097n 9
150228n 0
150379n 0
150591n 24
150762n 14
150932n 18
151087n 26
151314n 0
151409n 7
151497n 678
151914n 2
152018n 118
152230n 0
152338n 1
152519n 0
152727n 68
152990n 0
153105n 52
153288n 0
153499n 0
153665n 52
153809n 74
153961n 239
154233n 5
154433n 187
154689n 0
154894n 2
155085n 0
155298n 1
155487n 110
155797n 0
155970n 0
156119n 0
156293n 0
156390n 29
156625n 1
156812n 13
157081n 981
157318n 0
157463n 28
157687n 0
157877n 0
157957n 75
158185n 648
158443n 0
158805n 0
158996n 57
159177n 21
159396n 14
159620n 28
159899n 5
160073n 5
160297n 0
160415n 3
160532n 96
160688n 82
160922n 0
161044n 1
161243n 2296
161603n 4
161739n 2
161888n 22
162055n 0
162236n 0
162417n 0
162632n 1660
163047n 137
163233n 58
163406n 4
163630n 0
163779n 194
164152n 12
164345n 109
164579n 19
164801n 215
164999n 0
165178n 0
165298n 14
165563n 44
165793n 0
165942n 878
166172n 456
166355n 286
166552n 12
166702n 139
166865n 0
167063n 60
167278n 60
167446n 100
167580n 0
167764n 32
167950n 3
168121n 0
168237n 708
168505n 20
168658n 171
168911n 0
169047n 0
169147n 0
169305n 108
169522n 0
169651n 1
169811n 13
170005n 0
170172n 0
170340n 41
170536n 2
170643n 0
170710n 24
170844n 187
171050n 0
171249n 134
171507n 0
171618n 22
171882n 0
172073n 13
172217n 11
172347n 1
172490n 4
172598n 3
172710n 2148
173172n 0
173283n 57
173487n 0
173761n 138
174003n 243
174127n 1
174260n 0
174412n 520
174663n 0
174782n 0
174950n 0
175174n 0
175433n 0
175605n 0
175875n 0
176052n 0
176312n 0
176449n 0
176609n 0
176766n 0
176994n 0
177127n 5
177448n 26
177638n 0
177783n 0
178024n 1
178177n 0
178551n 7
178700n 7
178832n 4
178972n 2
179125n 0
179275n 3
179380n 30
179576n 127
179683n 255
179916n 27
180054n 0
180228n 66
180413n 88
180770n 26
180962n 123
181191n 0
181373n 2
181495n 0
181640n 1
181781n 228
182213n 313
182435n 1
182571n 100
182723n 1
182897n 0
183084n 1
183240n 0
183357n 2
183505n 133
183995n 0
184135n 0
184362n 2
184501n 0
184652n 0
184802n 0
184981n 0
185104n 5
185307n 39
185438n 0
185612n 0
185778n 0
186251n 0
186549n 0
186634n 713
187056n 0
187144n 0
187337n 102
187499n 0
187710n 63
187890n 16
188007n 64
188183n 4
188341n 0
188449n 0
188620n 45
188766n 7
188934n 1
189106n 28
189257n 0
189476n 0
189565n 221
189896n 1
190040n 0
190180n 2
190338n 0
190431n 19
190579n 0
190783n 85
190931n 0
191142n 32684
191980n 0
192149n 0
192300n 47
192457n 0
192613n 127
192910n 0
193099n 0
193225n 9
193406n 17
193622n 0
193811n 0
194005n 0
194127n 2
194257n 0
194414n 0
194645n 0
194831n 0
194969n 55
195194n 54
195415n 73
195569n 3
195938n 33
196084n 134
196402n 0
196485n 123
196848n 0
197136n 0
197229n 0
197419n 0
197610n 24
197772n 56
198118n 1
198270n 2
198451n 73
198631n 1
198793n 0
198919n 47
199130n 6712
199707n 127
200041n 4
200244n 7
200379n 5
200563n 24
200768n 29
201058n 104
201269n 0
201397n 0
201516n 7
201671n 52
201923n 19
202284n 250
202620n 0
202816n 156
203020n 1
203208n 0
203342n 272
203649n 0
203753n 76
204022n 5
204199n 57
204334n 2
204439n 52
204659n 28
204814n 0
204943n 12
205079n 32
205349n 0
205543n 8
205649n 22
205891n 40
206130n 8
206302n 76
206600n 0
206779n 0
206927n 24
207306n 0
207434n 1
207622n 0
207761n 48
208141n 0
208277n 0
208521n 0
208694n 0
208797n 8
208943n 6
209132n 12
209301n 0
209446n 23
209546n 10
209680n 0
209789n 0
209943n 2363
210518n 199
210797n 152
210940n 59
211110n 548
211462n 0
211593n 0
211776n 0
212065n 11
212205n 26
212377n 0
212551n 0
212678n 1
212808n 116
213052n 9
213186n 0
213343n 22
213482n 0
213694n 103
213903n 33
214148n 14
214315n 0
214526n 0
214794n 0
215013n 0
215314n 8
215534n 0
215683n 6
215838n 1
216038n 8
216174n 167
216607n 0
216723n 48
216834n 5
217014n 236
217499n 30
217593n 72
217773n 28
218045n 19
218208n 10
218427n 0
218602n 1
218753n 0
218902n 1
219012n 930
219463n 0
219575n 275
219738n 0
219856n 0
220023n 367
220219n 0
220409n 4
220522n 309
221056n 4
221178n 10
221343n 0
221480n 0
221596n 0
221727n 0
221819n 0
221900n 0
221981n 0
222064n 0
222155n 0
222248n 12
222376n 92
222485n 17
222766n 0
222939n 0
223144n 0
223268n 0
223362n 0
223575n 0
223720n 23
223854n 10
223983n 22
224260n 3
224599n 0
224738n 5
224936n 2
225070n 0
225150n 48
225361n 0
225484n 1
225593n 9
225786n 8
226107n 8
226319n 10
226511n 0
226711n 0
226951n 4
227137n 0
227264n 0
227484n 0
227595n 38
227848n 1
227969n 0
228078n 0
228181n 1
228283n 10
228535n 44
228762n 0
228911n 6
229034n 0
229260n 36
229587n 0
229688n 0
229814n 1
229934n 5
230172n 11
230324n 8
230475n 2
230703n 0
230824n 0
230997n 0
231161n 0
231315n 0
