wnver::eOS9lXC6GvMWznF1wkZofDdtbBU
1740n 2312865 ROOT
1930n 913142
2137n 1398722
2452n 28220
2684n 572188
3553n 446006
3993n 0
4258n 213227
4475n 212671
5787n 0
5930n 6
6024n 0
6150n 265
6269n 332
6400n 0
6484n 223
7347n 199804
7846n 191072
15388n 9160
17222n 9831
19046n 16
19128n 14505
19613n 49495
20090n 19479
20827n 75413
21265n 10141
21734n 121
21939n 216591
22903n 1523
23100n 473800
23271n 126238
23773n 2542
24264n 206968
24720n 92335
26192n 10329
27167n 100014
27807n 14225
28270n 8162
28651n 223
29007n 0
29114n 17
29378n 345020
29677n 37498
30358n 252304
31264n 171905
31921n 163450
32613n 73075
32823n 168
33020n 173256
33615n 207201
34213n 18989
34479n 408
34574n 261
34777n 0
34939n 0
35189n 6169
35697n 2
35891n 0
36061n 65
36299n 3
36580n 0
36762n 1495
37006n 4
37090n 0
37200n 351
37396n 55456
38175n 0
38262n 618
38573n 0
38863n 0
39021n 234
39211n 0
39297n 65
39545n 7
39740n 0
39916n 14
39990n 24
40152n 168
40420n 1
40545n 0
40804n 167
40962n 73
41188n 73
41468n 134
41614n 0
41740n 9
41899n 3174
42311n 1066
42541n 152
42757n 1141
43116n 0
43195n 981
43609n 240
43902n 778
44150n 1606
44455n 56
44673n 27
44900n 0
45114n 0
45250n 2784
45646n 186
45907n 563
46177n 1706
46344n 127
46522n 939
47018n 1
47106n 215
47356n 0
47550n 0
47745n 330
47941n 1
48051n 416
48225n 242
48374n 904
48656n 0
48828n 185
49003n 115
49344n 2
49530n 7
49636n 0
49789n 1
49909n 4
50037n 28
50195n 386
50484n 1
50693n 7
50887n 353
51077n 18
51192n 336
51385n 1
51525n 1
51712n 0
51897n 0
52052n 2
52146n 0
52334n 27
52500n 29
52791n 1
53020n 0
53097n 150
53405n 0
53525n 0
53609n 8
53806n 1
53913n 358
54328n 0
54483n 15
54652n 99
54821n 6
55038n 0
55227n 0
55315n 6
55633n 0
55793n 0
55932n 0
56087n 6
56311n 4
56551n 0
56688n 11
56912n 24
57162n 0
57306n 9
57486n 152
57657n 6
57748n 0
58002n 0
58247n 0
58337n 1
58519n 12
58608n 0
58743n 1705
59127n 1492
59376n 21
59552n 1455
59728n 0
59895n 15
59989n 56
60201n 0
60414n 13
60548n 0
60747n 0
60817n 0
61014n 1
61171n 2
61290n 67
61453n 0
61598n 190
61792n 0
61917n 10
62133n 178
62331n 0
62451n 2
62671n 0
62806n 2732
63014n 331
63310n 9
63559n 1
63652n 2050
64018n 34
64151n 15
64370n 1
64504n 418
64789n 311
65098n 0
65216n 2
65336n 67
65418n 0
65575n 71
65855n 351
66075n 0
66216n 2866
66397n 162
66636n 2266
66901n 32
67153n 0
67254n 360
67397n 63
67526n 1212
67707n 242
67990n 18
68170n 34
68333n 7
68617n 0
68755n 33
68901n 26
69060n 0
69173n 10
69444n 0
69604n 0
69685n 0
69815n 0
69918n 2
70077n 0
70215n 0
70363n 6
70462n 0
70641n 7
70807n 0
70965n 569
71546n 0
71700n 0
71864n 0
72068n 32
72261n 77
72473n 28
72691n 2
72808n 9
