#nltk_directory,short_name,long_name,contents,derived_from,reader,licenser1,licenser2,see_also,contact_name,contact_email
#in nltk/corpora,for use in book,,,,in nltk/nltk/corpora,,for derived works,,,
abc,abc,Australian Broadcasting Commission 2006,Science News::Rural News,,,,,,,
biocreative_ppi,BioCreAtIvE-PPI,BioCreAtIvE Protein-Protein Interaction Corpus,BioCreatIve Task 1a,,,,NCBI,http://www2.informatik.hu-berlin.de/~hakenber/corpora/::http://www.mitre.org/public/biocreative/,,
brown,brown,Brown Corpus,,,brown.py,,,,,
chat80,chat80,Chat-80 Database,,,chat80.py,University of Pennsylvania,,http://www.cis.upenn.edu/~pereira/oldies.html,Fernando Pereira,
cmudict,cmudict,Carnegie Mellon Pronouncing Dictionary,,,cmudict.py,,,,,
conll2000,conll2000,CoNLL 2000 Chunking Corpus,,,conll2000.py,,,,,
conll2002,conll2002,CoNLL 2002 NER Corpus,Dutch::Spanish,,conll2002.py,,,,,
genesis,genesis,Genesis Corpus,,,genesis.py,,,,,
gutenberg,gutenberg,Project Gutenberg Selections,,,gutenberg.py,,,,,
ieer,ieer,NIST 1999 Information Extraction ,Entity Recognition Corpus,,ieer.py,,,,,
inaugural,inaugural,US Presidential Inaugural Address Corpus,,,inaugural.py,,,,,
indian,indian,Indian Language POS-Tagged Corpus,Bangla::Hindi::Marathi::Telugu,,indian.py,,,,,
kimmo,kimmo,,,,,,,,,
names,names,Names Corpus,,,names.py,,,
paradigms,paradigms,Paradigm Corpus,,,,,,
pil,pil,,,,,,,
ppattach,ppattach,PP Attachment Corpus,,IBM-Lancaster Treebank of Computer Manuals::Penn Treebank,ppattach.py,,,
problem_reports,problem_reports,,,,,,,
senseval,senseval,SENSEVAL 2 Corpus,,,senseval.py,,,
shakespeare,shakespeare,Shakespeare XML Corpus Sample,,,shakespeare.py,,,
sinica_treebank,sinica_treebank,Sinica Treebank Corpus Sample,,,sinica_treebank.py,Academia Sinica,,
state_union,state_union,US Presidential State of the Union Address Corpus,,,state_union.py,,,
stopwords,stopwords,Stopwords Corpus,,,stopwords.py,,,
switchboard,switchboard,,,,,,,
timit,timit,TIMIT Corpus Sample,,,timit.py,,,
toolbox,toolbox,Toolbox Data Samples,,,toolbox.py,,,
treebank,Penn Treebank,Penn Treebank Corpus Sample,,Wall Street Journal,treebank.py,LDC,,http://www.cis.upenn.edu/~treebank/
udhr,udhr,Universal Declaration of Human Rights Corpus,,,udhr.py,,,
web,web,,overheard::wine::pirates::singles,,web.py,,,
wordnet,wordnet,Wordnet 3.0,,,,Princeton University,,http://www.cogsci.princeton.edu/~wn
words,words,Wordlist (English),,,words.py,,,
