wnver::eOS9lXC6GvMWznF1wkZofDdtbBU
1740n 188887015 ROOT
1930n 79378884
2137n 109379442
2452n 3402347
2684n 48870770
3553n 38314276
3993n 8
4258n 18059695
4475n 17966477
5787n 4
5930n 899
6024n 0
6150n 20257
6269n 63226
6400n 0
6484n 29926
7347n 16962093
7846n 16071900
15388n 1134652
17222n 458700
19046n 2777
19128n 1243160
19613n 4617708
20090n 1813159
20827n 7190777
21265n 933736
21734n 33881
21939n 18906294
22903n 145728
23100n 38936042
23271n 13219300
23773n 344645
24264n 18833522
24720n 7966843
26192n 991733
27167n 8820142
27807n 1419819
28270n 687850
28651n 29476
29007n 2
29114n 1620
29378n 25372096
29677n 2949439
30358n 19010250
31264n 11018792
31921n 11007383
32613n 2423508
32823n 20852
33020n 14931666
33615n 14482551
34213n 1413419
34479n 74488
34574n 32877
34777n 2
34939n 110
35189n 464495
35697n 189
35891n 404
36061n 16046
36299n 210
36580n 8
36762n 72480
37006n 581
37090n 15
37200n 7078
37396n 4624388
38175n 4
38262n 128588
38573n 35
38863n 56
39021n 47173
39211n 229
39297n 18170
39545n 2323
39740n 145
39916n 1154
39990n 1151
40152n 25458
40420n 158
40545n 0
40804n 24866
40962n 17752
41188n 13332
41468n 24641
41614n 2
41740n 730
41899n 119150
42311n 115329
42541n 4342
42757n 125018
43116n 0
43195n 120543
43609n 24096
43902n 48959
44150n 226726
44455n 7332
44673n 5087
44900n 86
45114n 4
45250n 279716
45646n 2093
45907n 25116
46177n 50892
46344n 6202
46522n 118614
47018n 60
47106n 14943
47356n 0
47550n 59
47745n 21919
47941n 78
48051n 63292
48225n 27172
48374n 73153
48656n 989
48828n 19180
49003n 19898
49344n 169
49530n 547
49636n 19
49789n 14
49909n 899
50037n 2695
50195n 26089
50484n 139
50693n 1313
50887n 18340
51077n 552
51192n 18124
51385n 360
51525n 617
51712n 45
51897n 12
52052n 181
52146n 132
52334n 2423
52500n 2631
52791n 91
53020n 45
53097n 27065
53405n 7
53525n 15
53609n 1505
53806n 187
53913n 15593
54328n 28
54483n 1341
54652n 4805
54821n 631
55038n 1
55227n 1
55315n 919
55633n 1
55793n 2
55932n 1
56087n 354
56311n 1086
56551n 1
56688n 2
56912n 1422
57162n 0
57306n 81
57486n 4190
57657n 1841
57748n 1
58002n 46
58247n 26
58337n 413
58519n 1417
58608n 11
58743n 50618
59127n 32134
59376n 2440
59552n 29230
59728n 245
59895n 256
59989n 8033
60201n 219
60414n 407
60548n 0
60747n 1
60817n 20
61014n 325
61171n 116
61290n 1357
61453n 0
61598n 21702
61792n 70
61917n 1586
62133n 19369
62331n 2
62451n 677
62671n 0
62806n 202265
63014n 22106
63310n 273
63559n 187
63652n 167424
64018n 4663
64151n 224
64370n 277
64504n 20065
64789n 16078
65098n 8
65216n 733
65336n 1891
65418n 46
65575n 13617
65855n 7078
66075n 0
66216n 225158
66397n 13461
66636n 158315
66901n 2439
67153n 0
67254n 15876
67397n 1073
67526n 26179
67707n 10419
67990n 1636
68170n 3397
68333n 1341
68617n 15
68755n 1650
68901n 3438
69060n 0
69173n 441
69444n 11
69604n 108
69685n 0
69815n 12
69918n 47
70077n 0
70215n 63
70363n 1430
70462n 22
70641n 1993
70807n 0
70965n 59340
71546n 4
71700n 0
71864n 67
